Math Grade,Physics Grade,Biology Grade,Chemistry Grade,English Grade,History Grade,Economy Grade,Geography Grade,is_sucess,Suggestion Based on Top 4 grades,Suggestion Based on Mean
77,60,82,47,48,97,63,59,1,Anatomy,Economic Policy Analysis
57,70,86,61,40,45,55,93,1,Emergency management and Disaster,Mathematical Archaeology
61,43,60,92,58,82,63,44,1,Analytical Chemistry,Mathematical Archaeology
53,86,93,57,52,47,43,81,1,Medicine,Anatomy
70,82,92,70,49,77,71,98,1,Physics Education,Metorology
75,75,55,47,70,42,49,89,1,Tourism and Hospitality,Urban Planing and Regional Development
98,96,75,87,81,85,66,54,1,Data Reporting,Physical Chemistry
76,47,47,65,42,77,78,85,1,Transportation and Logistics,Surveying and Geomatics
40,77,95,56,81,51,58,97,1,Editing,Cultural Heritage Preservation
81,51,63,76,92,63,84,80,1,Global Financial Markets,Historical Geography
70,99,44,46,58,45,91,82,1,Economic Policy,Urban Planing and Regional Development
86,66,48,40,54,78,59,64,1,Signal Processing Engineers,Historical Analysis of Technological Advances
62,84,53,57,72,48,100,60,1,Experimental Physics,Geographic Information Systems
82,80,67,89,43,48,94,67,1,Economic Policy,Organic Chemistry
69,97,79,64,62,52,45,46,1,Experimental Physics,Science Journalism
73,86,83,98,75,46,58,60,1,Pharmacology,Organic Chemistry
78,58,60,91,85,48,90,56,1,Economic Policy,Lab Assistant
88,99,94,59,73,92,62,93,1,BioMechanics,Data Reporting
41,46,59,66,57,64,50,56,0,"F, a, i, l","F, a, i, l"
92,95,66,44,70,82,46,73,1,Operation Resarch,Computational Biology
48,58,72,78,71,52,84,57,1,Macroeconomics,Environmental Jouralism
63,73,65,92,41,71,52,73,1,Inorganic Chemistry,Chemistry and Scientific Revolution
91,78,94,88,67,60,77,62,1,Medicinal Chemistry,Chemistry Journalism
52,55,97,42,71,92,89,44,1,Medical History,Operation Resarch
76,51,99,68,46,96,79,87,1,Transportation and Logistics,Spatial Dynamics of Chemical Reactions
79,92,99,62,87,99,45,67,1,History of Physics,GeoPhysics
72,58,80,90,90,83,84,76,1,Chemistry Journalism,Education
41,49,100,82,99,81,88,79,1,Biotechnology,Economics of Biomedical Research and Development
81,42,94,56,100,83,63,73,1,History of Science,Economics of Biomedical Research and Development
52,65,65,81,62,99,81,90,1,Spatial Dynamics of Chemical Reactions,Global Financial Markets
84,84,68,80,60,98,78,77,1,Mathematics,Mathematical Modeling
58,67,68,53,59,85,71,47,1,Journalism and Media,Historical Anthropology
73,59,48,71,100,67,63,69,1,Publishing,Global Financial Markets
62,90,66,71,73,97,86,72,1,Historical Instrumentation and Experimental Replication,Science Editing
93,49,93,53,49,67,40,71,1,Computational Biology,Digital Humanities
100,71,100,44,63,75,72,70,1,Mathematics,Biostatistics
97,60,47,60,75,72,59,42,1,Signal Processing Engineers,Epidemiology
91,43,78,60,73,57,61,97,1,Mathematics,Computational Biology
43,96,56,75,50,52,51,83,1,Geospatial Techoology,Radiology
52,57,65,57,67,76,40,40,0,"F, a, i, l","F, a, i, l"
68,95,69,81,76,65,92,43,1,Energy Economics,Chemistry and Scientific Revolution
41,67,71,83,89,56,92,93,1,Technical Writing for Chemistry,Environmental Economics
86,94,49,55,91,48,96,83,1,Communications,Travel Writing and Guidebook Publishing
93,99,97,57,89,52,81,59,1,Biotechnology,Risk Manager
76,79,57,77,58,62,98,72,1,Econometrics,Analytical Chemistry
71,58,96,73,68,59,62,64,1,Microbiology,Archival Studies
64,68,58,56,94,46,40,86,1,Tourism and Hospitality,Museum Curator
57,52,67,90,86,99,59,75,1,Evolution of Chemical Education,Geography of Chemical Waste Management
45,98,82,62,58,89,84,91,1,Historical Preservation and Cultural Heritage,Microeconomics
83,74,53,61,100,49,49,40,1,Communications,Physiology
95,50,47,58,67,73,98,56,1,Risk Manager,Environmental Jouralism
77,42,64,65,100,82,72,46,1,Translation,Digital Marketing
55,71,68,49,77,97,43,72,1,Government and Public Services,Biophysics
98,66,73,49,88,89,68,47,1,Mathematics,Economic Policy Analysis
47,65,53,65,47,64,93,85,1,Environmental Economics,Transportation and Logistics
48,58,96,45,44,50,60,57,0,"F, a, i, l","F, a, i, l"
65,42,45,56,87,93,75,87,1,Historical Geography,History of Chemical Discoveries
53,89,47,47,58,50,97,88,1,International Development,Environmental Jouralism
59,72,66,76,70,74,93,64,1,Public Finance,Energy Economics
85,84,99,60,40,56,92,82,1,Emergency management and Disaster,Environmental Chemistry
69,93,64,43,63,87,42,83,1,GeoPhysics,Data Analysis
60,55,92,80,45,48,98,89,1,International Economics,Astrophysics
80,68,83,45,48,99,73,64,1,History of Science,Economics of Biomedical Research and Development
43,49,73,59,91,44,54,46,0,"F, a, i, l","F, a, i, l"
81,88,64,78,100,60,62,56,1,Technical Writing,Data Scientist
100,99,82,86,78,84,61,62,1,Biotechnology,Biomedical Engineering
63,70,97,42,89,73,84,50,1,International Economics,Data Scientist
58,100,94,51,81,89,60,66,1,Copywriting,Medical Physics
96,91,81,70,87,43,59,90,1,Publishing,Technical Writing
65,79,72,88,100,75,58,43,1,Scientific Writing in Chemistry,Museum Curation and Interpretation
68,84,59,65,75,40,54,98,1,Plantery Science,Emergency management and Disaster
70,56,47,99,42,56,70,100,1,Emergency management and Disaster,History of Science
42,54,64,58,59,42,64,53,0,"F, a, i, l","F, a, i, l"
54,42,68,66,41,47,47,100,0,"F, a, i, l","F, a, i, l"
50,45,40,44,67,47,68,77,0,"F, a, i, l","F, a, i, l"
47,78,47,41,93,67,78,95,1,Cultural Heritage Preservation,Data Scientist
98,43,99,90,95,64,94,68,1,Signal Processing Engineers,Cultural Heritage Management and Preservation
82,60,53,91,61,79,64,93,1,Geography of Chemical Waste Management,Economic History Research
79,75,68,70,91,59,54,45,1,Technical Writing,Biophysics
76,82,81,56,93,51,43,90,1,Communications,Math Journalism
92,68,59,40,93,67,44,49,1,Copywriting,Statistical Demography
76,83,52,89,43,85,56,44,1,Science Journalism,Financial Services
41,55,69,66,51,96,57,48,1,Historical Preservation and Cultural Heritage,Sustainable Chemistry and Economic Development
46,64,76,75,75,47,53,81,1,Emergency management and Disaster,Plantery Science
77,43,80,46,45,75,66,65,1,Urban Planing and Regional Development,Data Scientist
48,60,66,81,83,84,51,85,1,Tourism and Hospitality,Historical Research and Writing
68,85,42,68,50,100,81,42,1,History of Physics,Translation
95,65,46,92,50,42,93,47,1,Microeconomics,Biostatistics
53,58,86,46,76,79,69,57,1,Biotechnology,Microeconomics
42,60,98,71,48,58,52,64,1,Anatomy,Tourism and Hospitality
45,42,44,83,93,53,62,95,1,Chemistry Education and Curriculum Development,Travel Writing and Guidebook Publishing
87,56,76,57,74,42,85,91,1,Urban Planing and Regional Development,Emergency management and Disaster
85,55,52,43,96,71,74,94,1,Copywriting,Microeconomics
60,56,81,86,65,82,92,43,1,Macroeconomics,Energy Economics
88,71,50,90,86,82,66,54,1,Organic Chemistry,Public Finance
97,66,98,94,46,52,75,99,1,Computational Chemistry,Mathematical Modeling
44,82,46,50,71,94,46,72,1,Experimental Physics,Economic Policy
49,49,54,78,80,94,50,49,1,Archivist,English Language Skills for Economic Forecasting
60,84,90,75,50,76,51,87,1,GeoPhysics,Lab Assistant
72,91,59,91,75,76,70,95,1,Emergency management and Disaster,Metorology
43,73,47,41,88,49,97,85,1,Environmental Jouralism,Climate Science
85,62,90,63,43,84,97,98,1,Cultural Heritage Management and Preservation,Quantum Chemistry
75,59,62,51,62,41,42,41,0,"F, a, i, l","F, a, i, l"
63,95,63,61,49,57,65,99,1,Astrophysics,Materials Science
61,85,80,87,89,53,83,94,1,Plantery Science,Economic Policy
77,82,67,78,65,78,75,62,1,Astrophysics,Energy Economics
72,73,89,54,50,51,84,87,1,Environmental Economics,Data Scientist
42,63,98,99,43,89,81,86,1,Medicine,Spatial Dynamics of Chemical Reactions
46,46,43,40,91,95,47,67,0,"F, a, i, l","F, a, i, l"
72,89,67,85,47,85,83,59,1,Historical Instrumentation and Experimental Replication,Environmental Economics
70,76,80,76,95,91,97,89,1,Academic Publishing,Econometrics
58,85,61,82,75,58,72,56,1,Materials Science,English Language Skills for Economic Forecasting
77,44,84,94,79,67,60,49,1,Pharmacology,Bioinformatics
45,89,99,78,92,90,80,96,1,GeoPhysics,Science Journalism
48,94,75,73,86,95,41,54,1,Historical Preservation and Cultural Heritage,Ecology
89,48,80,92,72,70,86,40,1,Sustainable Chemistry and Economic Development,English Language Skills for Economic Forecasting
58,64,62,73,41,43,40,71,0,"F, a, i, l","F, a, i, l"
51,73,55,96,58,85,41,81,1,History of Chemical Discoveries,Molecular Biology
80,77,99,63,56,61,65,65,1,Ecology,Epidemiology
95,67,40,82,100,53,80,81,1,Chemical Engineering,Emergency management and Disaster
91,72,73,80,48,54,81,63,1,Financial Services,Physiology
62,68,52,92,49,77,88,41,1,Inorganic Chemistry,Chemistry Journalism
83,59,69,59,90,66,71,99,1,Surveying and Geomatics,Mathematical Archaeology
54,84,53,84,99,81,58,75,1,Chemistry Education and Curriculum Development,Historical Fiction Writing
86,53,85,88,54,40,97,70,1,Financial Services,Experimental Physics
56,67,95,52,79,56,61,97,1,Tourism and Hospitality,International Economics
62,56,66,60,58,85,78,55,1,Government and Public Services,Content Creation
73,49,44,70,90,65,86,97,1,Cultural Heritage Preservation,Quantitative Analyst
85,41,50,52,67,96,41,45,0,"F, a, i, l","F, a, i, l"
57,86,91,95,83,93,78,87,1,Geographical Perspectives on Ecosystem Services,Chemistry and Scientific Revolution
71,75,68,94,69,40,65,43,1,Organic Chemistry,Analytical Chemistry
98,72,95,68,82,62,95,81,1,International Development,Risk Manager
75,56,48,43,41,70,85,47,0,"F, a, i, l","F, a, i, l"
61,98,92,85,57,78,97,47,1,Analytical Chemistry,Quantitative Analyst
40,56,44,65,82,99,57,86,1,Copywriting,Economic Policy
47,64,62,82,50,46,54,69,0,"F, a, i, l","F, a, i, l"
76,60,61,70,87,91,72,67,1,Content Creation,Journalism and Media
58,46,61,75,87,97,65,57,1,Archivist,Environmental Economics
63,76,66,93,74,76,96,82,1,Spatial Dynamics of Chemical Reactions,Environmental Chemistry
83,73,90,41,58,70,80,88,1,Cartography,Tourism and Hospitality
97,94,59,91,100,87,72,87,1,Evolution of Chemical Education,Data Reporting
78,92,94,87,58,77,57,52,1,Inorganic Chemistry,Data Reporting
47,92,58,56,89,85,94,81,1,Econometrics,Business and Economic Journalism
41,63,94,55,86,90,81,43,1,Sustainable Economics in Biology Conservation,Biochemistry
82,100,77,74,82,55,67,83,1,Technical Writing,Energy Economics
98,48,84,74,57,58,75,70,1,Data Scientist,Data Analysis
45,92,75,97,42,45,70,83,1,Lab Assistant,Geographical Perspectives on Ecosystem Services
97,63,80,55,90,60,40,87,1,Academic Research,Chemical Engineering
95,98,47,93,48,85,88,91,1,Chemistry and Scientific Revolution,Data Analysis
77,45,63,48,58,51,79,70,1,Environmental Economics,Translation
94,60,72,78,53,63,99,60,1,Financial Services,Energy Economics
60,57,97,74,63,63,95,63,1,Sustainable Economics in Biology Conservation,Bioarchaeology
94,70,83,58,73,49,85,91,1,Financial Services,Experimental Physics
63,93,98,81,63,61,91,57,1,Materials Science,Quantitative Analyst
63,47,99,89,91,88,92,69,1,Biotechnology and Economic Development,Conservation of Biodiversity Hotspots
72,93,61,99,74,73,75,52,1,Lab Assistant,Philosophy of Physics
78,58,85,49,74,83,52,95,1,Historical Geography,Technical Writing
70,84,74,71,68,93,92,43,1,Energy Economics,Atmospheric Chemistry
77,44,82,61,60,84,73,56,1,Museum Curator,Bioarchaeology
99,96,61,81,48,95,81,48,1,Government and Public Services,Biostatistics
60,63,69,40,53,61,44,87,0,"F, a, i, l","F, a, i, l"
48,77,48,84,44,70,82,72,1,Economic Policy,Economic Policies in the Chemical Sector
96,84,94,43,87,69,77,47,1,Math Journalism,Publishing
55,45,70,96,92,56,61,66,1,Technical Writing for Chemistry,Economic Policy
67,68,76,75,77,84,60,97,1,Historical Geography,Education
72,75,62,86,41,50,80,40,1,Organic Chemistry,Materials Science
89,84,88,52,52,58,94,100,1,Climate Science,Cartography
74,43,46,55,61,67,58,44,0,"F, a, i, l","F, a, i, l"
60,84,52,86,43,79,66,81,1,Geography of Chemical Waste Management,Data Analysis
78,47,74,81,63,77,40,75,1,Education,Spatial Dynamics of Chemical Reactions
65,75,93,65,54,96,90,96,1,Conservation of Biodiversity Hotspots,Biotechnology and Economic Development
81,73,99,52,70,84,77,85,1,Medicine,Medicine
78,44,89,73,73,67,59,92,1,Biotechnology,Biotechnology
64,48,47,60,45,74,47,86,0,"F, a, i, l","F, a, i, l"
58,89,72,66,47,50,76,61,1,Experimental Physics,Education
57,96,96,43,50,56,46,95,1,Transportation and Logistics,GeoPhysics
47,46,70,49,92,98,52,61,1,Publishing,Historical Preservation and Cultural Heritage
77,47,59,71,65,86,91,81,1,Business and Economic Journalism,English Language Skills for Economic Forecasting
88,51,100,58,95,53,63,87,1,Content Creation,Data Scientist
55,62,84,60,63,46,69,47,1,Medicine,Microbiology
82,45,90,56,62,61,90,83,1,Urban Planing and Regional Development,Economic History
69,93,98,41,93,46,64,50,1,Biophysics,Radiology
55,90,65,40,70,53,56,49,0,"F, a, i, l","F, a, i, l"
47,66,86,68,52,78,96,75,1,Microeconomics,Astrophysics
88,95,65,59,97,63,42,94,1,Theortical Physics,Creative Writing
55,56,85,67,63,88,61,86,1,Emergency management and Disaster,Medicine
81,86,72,90,71,64,57,61,1,Mathematical Physics,Historical Education and Outreach
62,40,63,87,90,46,73,70,1,Communications,Biochemistry
84,62,70,73,77,54,67,49,1,Data Analysis,Technical Writing in Physics
80,63,53,92,64,82,59,77,1,Chemistry and Scientific Revolution,Communications
86,64,70,73,63,81,53,59,1,Economic History Research,Geography of Chemical Waste Management
80,76,74,61,71,40,78,98,1,Tourism and Hospitality,Global Financial Markets
48,70,67,96,53,97,90,84,1,History of Chemical Discoveries,Philosophy of Physics
58,74,100,68,74,75,42,84,1,Tourism and Hospitality,Computer Science
86,84,88,40,83,46,59,59,1,Biostatistics,Urban Planing and Regional Development
79,62,75,93,69,94,90,43,1,Chemistry and Resource Economics,Financial Sector Regulatoins
58,46,41,85,90,82,45,79,1,Technical Writing for Chemistry,Historical Instrumentation and Experimental Replication
99,78,94,58,76,42,63,68,1,Ecology,Data Scientist
67,66,56,41,61,67,65,88,1,Tourism and Hospitality,Mathematical Modeling
66,96,88,64,70,89,83,68,1,Historical Preservation and Cultural Heritage,Bioinformatics
55,71,42,49,40,53,48,60,0,"F, a, i, l","F, a, i, l"
89,66,72,100,65,60,52,45,1,Lab Assistant,Physiology
74,92,62,96,77,100,83,93,1,Sustainable Chemistry and Economic Development,Mathematical Physics
41,92,83,80,81,55,67,87,1,GeoPhysics,Science Communication
82,86,63,75,83,97,88,50,1,econophysics,English Language Skills for Economic Forecasting
88,100,79,90,81,73,44,88,1,Physics Education,Cultural Heritage Management and Preservation
48,49,80,55,92,58,92,42,1,Communications,Business and Economic Journalism
80,99,57,75,87,52,53,79,1,Translation,Science Communication
60,90,50,57,64,60,76,53,1,Astrophysics,Econometrics
72,82,82,47,56,92,51,88,1,Historical Anthropology,Science Editing
80,69,42,47,74,94,98,50,1,Museum Curator,Business and Economic Journalism
85,78,42,64,80,57,86,70,1,Mathematics,Science Education and Outreach
42,93,59,94,49,83,85,73,1,Science Journalism,Spatial Dynamics of Chemical Reactions
59,48,81,90,96,65,53,87,1,Geography of Chemical Waste Management,Transportation and Logistics
61,69,73,64,69,69,50,49,1,Historical Fiction Writing,Historical Analysis of Technological Advances
74,56,57,46,80,61,77,40,1,English Language Skills for Economic Forecasting,Math Journalism
82,67,75,59,42,71,81,79,1,Macroeconomics,Molecular Biology
86,87,83,68,49,100,54,65,1,Medical Physics,Plantery Science
95,100,55,49,61,51,47,49,1,Experimental Physics,Chemical Engineering
41,63,88,43,80,63,40,95,1,Emergency management and Disaster,Emergency management and Disaster
62,62,65,60,81,79,62,72,1,Publishing,Geographic Information Systems
94,55,82,87,60,90,77,80,1,Analytical Chemistry,Cultural Heritage Management and Preservation
82,97,87,43,70,73,74,99,1,Biotechnology,Historical Fiction Writing
51,47,96,83,84,40,74,90,1,Education,Macroeconomics
75,60,90,90,87,77,50,90,1,Molecular Biology,Bioinformatics
87,81,50,81,45,72,50,97,1,Theortical Physics,Archivist
99,64,98,49,93,75,63,79,1,Data Analysis,Sustainable Economics in Biology Conservation
93,62,48,99,84,54,89,54,1,Public Finance,English Language Skills for Economic Forecasting
98,85,85,81,67,87,44,41,1,Pharmacology,Mathematical Biology
94,66,81,67,55,98,97,95,1,Biotechnology,Computational Biology
84,91,68,55,53,77,58,80,1,Science Journalism,Urban Planing and Regional Development
54,81,79,64,82,87,50,77,1,Science Journalism,Education
71,71,59,65,58,68,81,90,1,Econometrics,Spatial Dynamics of Chemical Reactions
73,59,94,77,70,55,67,85,1,Anatomy,Mathematical Biology
67,42,58,48,94,98,82,83,1,International Development,Economic Policy Analysis
75,74,53,49,78,98,63,73,1,Historical Preservation and Cultural Heritage,Museum Curator
53,49,98,94,72,48,98,54,1,Pharmacology,Econometrics
83,59,86,68,69,86,59,66,1,Bioinformatics,Communications
87,46,98,49,82,90,86,61,1,Statistical Demography,Data Reporting
98,44,98,95,99,78,89,76,1,Microbiology,Emergency management and Disaster
85,40,92,43,66,57,90,97,1,Biotechnology and Economic Development,Microbiology
46,45,80,52,52,84,44,84,1,Tourism and Hospitality,Technical Writing for Chemistry
93,47,57,73,78,97,65,79,1,Journalism and Media,Sustainable Chemistry and Economic Development
58,80,57,61,52,64,97,47,1,International Economics,Molecular Biology
98,52,42,85,60,91,47,48,1,History of Chemical Discoveries,Physics Education
88,89,100,96,43,72,95,76,1,Economics,Physiology
84,59,65,95,80,91,83,84,1,Emergency management and Disaster,Archaeology
92,70,56,62,54,78,72,56,1,Data Analysis,Signal Processing Engineers
70,40,92,48,94,48,78,90,1,Creative Writing,International Development
80,75,66,86,49,85,89,92,1,Cultural Heritage Management and Preservation,Atmospheric Chemistry
97,89,58,86,74,98,50,57,1,Quantum Mechanics,Organic Chemistry
58,62,46,86,87,71,54,73,1,Chemistry Journalism,Geochemistry
94,85,89,50,99,89,54,62,1,Museum Curator,Science Communication
44,74,74,52,59,71,81,67,1,Microeconomics,Physics Education
77,59,83,65,75,82,57,68,1,Museum Curator,Chemistry Education and Curriculum Development
49,70,80,51,78,53,43,88,1,Tourism and Hospitality,Data Analysis
63,57,87,71,79,85,65,91,1,Archivist,Economics
64,46,64,82,84,65,55,54,1,Analytical Chemistry,Spatial Dynamics of Chemical Reactions
68,73,42,67,41,50,98,69,1,International Economics,Experimental Physics
53,84,40,47,94,91,76,95,1,Archival Studies,Urban Planing and Regional Development
64,76,59,99,92,70,79,85,1,Organic Chemistry,Geography of Chemical Waste Management
83,59,90,70,87,97,67,86,1,Cultural Heritage Management and Preservation,History of Science
65,70,79,54,60,81,89,47,1,Economic Policy Analysis,History of Science
99,54,85,59,51,91,86,65,1,Museum Curator,Computational Chemistry
53,95,79,75,73,96,44,54,1,Experimental Physics,Chemistry Journalism
97,99,88,96,66,69,85,43,1,Organic Chemistry,Archivist
43,57,63,72,47,42,42,49,0,"F, a, i, l","F, a, i, l"
43,70,53,77,55,65,40,78,1,Historical Preservation and Cultural Heritage,Environmental Chemistry
78,95,54,47,65,44,99,96,1,Energy Economics,Experimental Physics
66,73,99,94,69,58,84,84,1,Economics of Chemical Manufacturing,Chemistry Education and Curriculum Development
48,68,69,81,85,41,86,56,1,Education,Astrophysics
99,61,64,85,72,54,80,46,1,Chemical Education,Data Scientist
41,77,69,64,74,85,41,87,1,Government and Public Services,Journalism
78,70,98,77,71,60,90,43,1,Macroeconomics,Evolution of Chemical Education
83,61,92,53,79,46,40,93,1,Landscape Ecology and Biotic Interactions,Public Relations
86,78,45,46,100,100,94,93,1,Travel Writing and Guidebook Publishing,English Language Skills for Economic Forecasting
95,55,73,48,89,65,80,54,1,Technical Writing,Landscape Ecology and Biotic Interactions
40,59,64,64,68,47,72,88,1,Tourism and Hospitality,Public Finance
53,41,92,46,90,49,65,40,0,"F, a, i, l","F, a, i, l"
79,58,63,49,69,80,75,82,1,Emergency management and Disaster,Science Editing
90,65,43,81,82,89,68,73,1,Education,Scientific Writing in Chemistry
100,48,79,95,59,73,80,49,1,Mathematics,Editing
71,40,95,47,69,85,65,44,1,Historical Anthropology,Chemical Engineering
100,40,89,49,75,43,99,40,1,Financial Services,Public Finance
88,57,50,69,100,53,50,60,1,Data Reporting,Economic Policies in the Chemical Sector
60,92,82,81,98,67,91,55,1,Biotechnology and Economic Development,Business and Economic Journalism
96,61,68,41,53,86,72,87,1,Operation Resarch,Statistical Demography
77,95,78,76,88,96,74,58,1,Research in Science and Technology Communication,Economic Policy
83,81,56,71,67,83,87,59,1,Operation Resarch,Physics Content Creation
90,53,73,71,85,91,51,79,1,Quantitative Historical Analysis,Environmental Jouralism
78,45,78,67,81,48,94,41,1,Technical Writing,Cultural Heritage Preservation
85,69,74,83,92,67,62,96,1,Content Creation,Content Management
77,76,43,65,97,86,98,81,1,Environmental Jouralism,Risk Manager
91,81,75,96,79,93,90,91,1,Mathematical Modeling,Emergency management and Disaster
59,76,97,69,90,75,91,93,1,Environmental Economics,Science Communication and Writing
97,60,82,93,94,97,89,71,1,Medicinal Chemistry,Digital Marketing
99,97,48,84,55,55,52,55,1,Mathematical Modeling,econophysics
72,83,46,93,99,100,40,79,1,Education,Science Writing
71,52,83,59,43,70,94,76,1,Macroeconomics,Conservation of Biodiversity Hotspots
100,51,78,90,64,63,50,64,1,Analytical Chemistry,Molecular Biology
48,50,48,57,82,58,41,67,0,"F, a, i, l","F, a, i, l"
70,72,53,41,51,88,47,92,1,Government and Public Services,Theortical Physics
55,44,53,83,79,72,81,67,1,Microeconomics,Cultural Heritage Management and Preservation
88,75,79,86,82,88,70,58,1,Academic Publishing,Economic History
66,69,89,98,54,51,94,75,1,Sustainable Chemistry and Economic Development,Surveying and Geomatics
86,42,69,72,50,92,75,52,1,Actuarial Science,Economic Policy Analysis
88,74,78,42,54,95,69,43,1,Data Analysis,Signal Processing Engineers
48,94,97,73,100,77,72,66,1,Physics Education,Writing and Editing
92,74,76,47,50,57,52,44,1,Operation Resarch,Medical History
49,55,93,64,87,92,47,78,1,Journalism and Media,Medicine
66,85,64,84,51,88,81,60,1,Archivist,Biotechnology and Economic Development
85,60,97,85,99,43,48,62,1,Biochemistry,Data Reporting
85,45,65,71,84,83,100,66,1,Statistical Demography,Chemical Market Forecasting and Analysis
95,60,46,61,66,64,88,83,1,Geographic Information Systems,Quantum Mechanics
65,58,100,65,76,65,81,68,1,Biotechnology,Evolution of Chemical Education
49,82,81,79,82,50,69,42,1,Science Journalism,Environmental History
41,50,87,92,58,64,69,58,1,Microbiology,Pharmacology
72,73,85,74,81,83,83,62,1,Public Relations,Digital Marketing
42,72,96,47,47,94,93,50,1,Historical Preservation and Cultural Heritage,Global Financial Markets
86,66,55,55,72,58,44,51,1,Data Analysis,Geography of Chemical Waste Management
44,71,57,95,79,80,65,73,1,Analytical Chemistry,Geochemistry
51,74,89,78,40,100,50,59,1,Medicine,Physiology
71,79,62,83,84,56,99,74,1,Cost-benefit Analysis in Chemical Projects,GeoPhysics
65,75,88,82,81,89,61,47,1,Anatomy,Data Reporting
59,50,60,41,86,56,49,46,0,"F, a, i, l","F, a, i, l"
84,47,91,61,77,48,42,98,1,Metorology,Biostatistics
97,75,62,97,52,58,86,63,1,Economic Policy,Analytical Chemistry
50,74,66,56,54,70,59,79,1,Geographical Perspectives on Ecosystem Services,Historical Preservation and Cultural Heritage
72,97,70,68,70,46,45,53,1,Physics Education,Science Editing
69,49,63,41,88,100,100,80,1,English Language Skills for Economic Forecasting,Data Analysis
52,77,84,59,62,79,65,62,1,Medicine,Global Financial Markets
